Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI
1,1,0,0,-0.7,0,0,0
1,1,0,10,-0.7,0,0,0
1,1,0,20,-0.8,0,0,0
1,1,0,30,-0.8,0,0,0
1,1,0,40,-0.9,0,0,0
1,1,0,50,-0.9,0,0,0
1,1,1,0,-0.9,0,0,0
1,1,1,10,-0.9,0,0,0
1,1,1,20,-0.9,0,0,0
1,1,1,30,-1,0,0,0
1,1,1,40,-1,0,0,0
1,1,1,50,-1,0,0,0
1,1,2,0,-1,0,0,0
1,1,2,10,-1,0,0,0
1,1,2,20,-0.9,0,0,0
1,1,2,30,-0.9,0,0,0
1,1,2,40,-0.9,0,0,0
1,1,2,50,-0.9,0,0,0
1,1,3,0,-0.9,0,0,0
1,1,3,10,-0.9,0,0,0
1,1,3,20,-0.9,0,0,0
1,1,3,30,-0.9,0,0,0
1,1,3,40,-0.9,0,0,0
1,1,3,50,-0.8,0,0,0
1,1,4,0,-0.8,0,0,0
1,1,4,10,-0.8,0,0,0
1,1,4,20,-0.8,0,0,0
1,1,4,30,-0.8,0,0,0
1,1,4,40,-0.8,0,0,0
1,1,4,50,-0.8,0,0,0
1,1,5,0,-0.8,0,0,0
1,1,5,10,-0.7,0,0,0
1,1,5,20,-0.7,0,0,0
1,1,5,30,-0.7,0,0,0
1,1,5,40,-0.7,0,0,0
1,1,5,50,-0.7,0,0,0
1,1,6,0,-0.6,0,0,0
1,1,6,10,-0.6,0,0,0
1,1,6,20,-0.5,0,0,0
1,1,6,30,-0.4,0,0,0
1,1,6,40,-0.3,0,0,0
1,1,6,50,-0.3,0,0,0
1,1,7,0,-0.2,0,0,0
1,1,7,10,0.30000000000000004,0,0,0
1,1,7,20,0.7000000000000001,0,0,0
1,1,7,30,1.2000000000000002,0,0,0
1,1,7,40,1.7000000000000002,373,15,32
1,1,7,50,2.1,468,20,53
1,1,8,0,2.6,545,24,77
1,1,8,10,3.1,608,28,103
1,1,8,20,3.7,659,31,129
1,1,8,30,4.2,702,34,156
1,1,8,40,4.800000000000001,729,36,181
1,1,8,50,5.300000000000001,761,38,207
1,1,9,0,5.9,788,40,233
1,1,9,10,6.300000000000001,811,42,257
1,1,9,20,6.7,831,43,281
1,1,9,30,7.1000000000000005,849,45,305
1,1,9,40,7.5,862,47,326
1,1,9,50,7.9,235,188,268
1,1,10,0,8.3,284,189,291
1,1,10,10,8.6,259,173,270
1,1,10,20,8.8,356,166,304
1,1,10,30,9.1,327,181,312
1,1,10,40,9.4,477,152,348
1,1,10,50,9.700000000000001,360,186,338
1,1,11,0,10,290,204,329
1,1,11,10,10.100000000000001,353,186,341
1,1,11,20,10.200000000000001,269,247,367
1,1,11,30,10.4,366,228,394
1,1,11,40,10.5,537,152,396
1,1,11,50,10.600000000000001,537,154,399
1,1,12,0,10.700000000000001,302,214,353
1,1,12,10,10.700000000000001,311,245,387
1,1,12,20,10.700000000000001,961,51,490
1,1,12,30,10.700000000000001,959,51,487
1,1,12,40,10.700000000000001,951,51,478
1,1,12,50,10.700000000000001,948,51,472
1,1,13,0,10.700000000000001,944,50,463
1,1,13,10,10.600000000000001,940,50,453
1,1,13,20,10.4,935,49,442
1,1,13,30,10.3,929,49,429
1,1,13,40,10.100000000000001,916,50,414
1,1,13,50,10,638,119,363
1,1,14,0,9.9,374,164,302
1,1,14,10,9.4,207,179,253
1,1,14,20,9,315,154,260
1,1,14,30,8.5,191,155,216
1,1,14,40,8.1,1,92,92
1,1,14,50,7.7,133,140,177
1,1,15,0,7.2,144,129,166
1,1,15,10,6.9,44,115,126
1,1,15,20,6.5,84,115,133
1,1,15,30,6.2,46,100,109
1,1,15,40,5.800000000000001,17,75,78
1,1,15,50,5.5,623,32,120
1,1,16,0,5.1000000000000005,567,28,94
1,1,16,10,5.1000000000000005,499,24,69
1,1,16,20,5,417,20,46
1,1,16,30,5,315,14,26
1,1,16,40,4.9,0,0,0
1,1,16,50,4.9,0,0,0
1,1,17,0,4.800000000000001,0,0,0
1,1,17,10,4.800000000000001,0,0,0
1,1,17,20,4.9,0,0,0
1,1,17,30,4.9,0,0,0
1,1,17,40,4.9,0,0,0
1,1,17,50,4.9,0,0,0
1,1,18,0,4.9,0,0,0
1,1,18,10,4.800000000000001,0,0,0
1,1,18,20,4.7,0,0,0
1,1,18,30,4.6000000000000005,0,0,0
1,1,18,40,4.5,0,0,0
1,1,18,50,4.4,0,0,0
1,1,19,0,4.2,0,0,0
1,1,19,10,4,0,0,0
1,1,19,20,3.8000000000000003,0,0,0
1,1,19,30,3.6,0,0,0
1,1,19,40,3.4000000000000004,0,0,0
1,1,19,50,3.2,0,0,0
1,1,20,0,2.9000000000000004,0,0,0
1,1,20,10,2.7,0,0,0
1,1,20,20,2.5,0,0,0
1,1,20,30,2.4000000000000004,0,0,0
1,1,20,40,2.2,0,0,0
1,1,20,50,2,0,0,0
1,1,21,0,1.8,0,0,0
1,1,21,10,1.7000000000000002,0,0,0
1,1,21,20,1.6,0,0,0
1,1,21,30,1.5,0,0,0
1,1,21,40,1.4000000000000001,0,0,0
1,1,21,50,1.2000000000000002,0,0,0
1,1,22,0,1.1,0,0,0
1,1,22,10,1.1,0,0,0
1,1,22,20,1,0,0,0
1,1,22,30,1,0,0,0
1,1,22,40,1,0,0,0
1,1,22,50,0.9,0,0,0
1,1,23,0,0.9,0,0,0
1,1,23,10,0.8,0,0,0
1,1,23,20,0.8,0,0,0
